Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
141.31,41.31,162.13,533.33,41.31,2693.84
198.22,40.27,171.24,568.17,98.22,3035.71
282.96,42.75,182.96,602.93,182.96,3417.39
403.73,42.68,185.71,648.92,303.73,3828.49
581.49,44.03,193.36,695.71,481.49,4331.19
857.29,47.43,202.97,757.29,757.29,4922.6
915.93,6.84,126.87,548.17,815.93,4005.08
932.97,1.86,60.44,370.67,832.97,3044.89
947.24,1.53,10.49,234.76,847.24,2253.15
972.06,2.62,6.13,140.77,872.06,1703.17
999.37,2.81,7.12,71.86,899.37,1267.54
1016.46,1.71,7.31,18.57,916.46,916.46
1033.74,1.7,6.35,12.86,1.7,631.54
1044.28,1.02,4.49,11.93,2.74,426.83
1060.47,1.55,4.33,11.95,4.33,274.78
1086.24,2.43,5.08,11.75,6.87,169.05
1115.24,2.67,6.8,11.59,9.72,91.79
1140.44,2.26,7.54,12.2,12.2,33.03
1167.35,2.36,7.47,12.92,14.84,27.45
1178.91,0.99,5.71,12.89,15.98,26.36
1190.58,0.99,4.4,12.27,17.13,25.69
1207.37,1.41,3.43,11.15,18.78,24.21
1225.12,1.47,3.92,9.85,20.53,22.59
1244.23,1.56,4.51,9.1,22.41,22.41
1260.9,1.34,4.43,8.01,1.34,21.97
1273.89,1.03,3.98,8.06,2.38,21.99
1278.35,0.35,2.74,7.37,2.74,20.55
1294.46,1.26,2.66,7.21,4.04,19.17
1310.25,1.22,2.85,6.95,5.31,17.49
1325.84,1.19,3.71,6.56,6.56,16.26
1340.56,1.11,3.56,6.32,7.74,14.84
1346.46,0.44,2.76,5.7,8.22,14.21
1348.48,0.15,1.71,5.49,8.38,13.26
1352.53,0.3,0.89,4.49,8.7,12.02
1356.86,0.32,0.77,3.56,9.05,10.75
1363.24,0.47,1.09,2.82,9.56,9.56
1379.33,1.18,1.98,2.89,1.18,9.39
1386.23,0.5,2.16,2.95,1.69,8.82
1393.3,0.51,2.21,3.32,2.21,8.99
